# CUDA_PROFILE_LOG_VERSION 1.3
# CUDA_PROFILE_CSV 1
# CUDA_DEVICE_NAME 0 GeForce 9800 GTX/9800 GTX+
method,gputime,cputime,occupancy
_Z20ClassifyPlanesPointsPK6float4PK6float3iiPi,40889,7.263,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15768.3,6.914,0.167
memcopy,137.696,858.978,
_Z20ClassifyPlanesPointsPK6float4PK6float3iiPi,41363,8.032,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15799.8,7.194,0.167
memcopy,134.912,795.492,
_Z20ClassifyPlanesPointsPK6float4PK6float3iiPi,40932,8.73,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15830.7,6.844,0.167
memcopy,137.568,720.343,
_Z20ClassifyPlanesPointsPK6float4PK6float3iiPi,41329.9,8.59,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15726.7,7.333,0.167
memcopy,137.184,659.791,
_Z20ClassifyPlanesPointsPK6float4PK6float3iiPi,40935.7,7.263,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15803.1,7.124,0.167
memcopy,134.816,714.197,
_Z20ClassifyPlanesPointsPK6float4PK6float3iiPi,40913.6,8.451,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15835.3,7.473,0.167
memcopy,142.272,789.626,
_Z20ClassifyPlanesPointsPK6float4PK6float3iiPi,41284.1,8.102,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15807.9,6.844,0.167
memcopy,144.192,1579.46,
_Z20ClassifyPlanesPointsPK6float4PK6float3iiPi,40949,8.241,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15768.4,6.914,0.167
memcopy,134.976,630.876,
_Z20ClassifyPlanesPointsPK6float4PK6float3iiPi,40942.5,6.705,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15817,7.054,0.167
memcopy,134.816,691.918,
_Z20ClassifyPlanesPointsPK6float4PK6float3iiPi,41382.5,8.59,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15800.9,7.333,0.167
memcopy,135.68,657.067,
_Z20ClassifyPlanesPointsPK6float4PK6float3iiPi,40912.4,6.984,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15903.9,6.914,0.167
memcopy,136.672,678.159,
_Z20ClassifyPlanesPointsPK6float4PK6float3iiPi,40970.9,7.752,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15707,6.635,0.167
memcopy,135.008,682.489,
_Z20ClassifyPlanesPointsPK6float4PK6float3iiPi,41273.1,6.844,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15830.7,6.844,0.167
memcopy,135.296,670.965,
_Z20ClassifyPlanesPointsPK6float4PK6float3iiPi,40918.8,8.381,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15822.9,6.844,0.167
memcopy,135.104,688.286,
_Z20ClassifyPlanesPointsPK6float4PK6float3iiPi,41224.2,7.124,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15864.1,8.94,0.167
memcopy,137.408,678.997,
_Z20ClassifyPlanesPointsPK6float4PK6float3iiPi,40928.5,8.451,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15889.3,6.495,0.167
memcopy,136.352,660.489,
_Z20ClassifyPlanesPointsPK6float4PK6float3iiPi,40927.9,7.054,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15859.7,6.984,0.167
memcopy,134.848,671.873,
_Z20ClassifyPlanesPointsPK6float4PK6float3iiPi,41253.2,8.381,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15786.2,6.984,0.167
memcopy,134.816,677.181,
_Z20ClassifyPlanesPointsPK6float4PK6float3iiPi,40925.4,6.914,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15836.9,7.263,0.167
memcopy,137.952,668.66,
_Z20ClassifyPlanesPointsPK6float4PK6float3iiPi,40943.6,8.241,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15743.4,7.683,0.167
memcopy,140.224,785.156,
_Z20ClassifyPlanesPointsPK6float4PK6float3iiPi,40892.9,10.825,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15788.4,6.984,0.167
memcopy,134.944,704.419,
_Z20ClassifyPlanesPointsPK6float4PK6float3iiPi,40945.7,7.054,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15866.2,7.543,0.167
memcopy,135.2,667.194,
_Z20ClassifyPlanesPointsPK6float4PK6float3iiPi,40945.3,6.635,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15753.2,7.683,0.167
memcopy,138.048,740.737,
_Z20ClassifyPlanesPointsPK6float4PK6float3iiPi,41411.8,6.984,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15870.9,7.613,0.167
memcopy,135.104,670.267,
_Z20ClassifyPlanesPointsPK6float4PK6float3iiPi,40972.8,8.032,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15895.2,7.263,0.167
memcopy,135.328,632.133,
_Z20ClassifyPlanesPointsPK6float4PK6float3iiPi,40925,7.752,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15809.6,7.054,0.167
memcopy,136.192,707.073,
_Z20ClassifyPlanesPointsPK6float4PK6float3iiPi,41377.6,8.451,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15765.8,6.914,0.167
memcopy,136.608,650.781,
_Z20ClassifyPlanesPointsPK6float4PK6float3iiPi,40929.2,4520.48,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15779.4,6.356,0.167
memcopy,140.224,728.375,
_Z20ClassifyPlanesPointsPK6float4PK6float3iiPi,40910.1,7.194,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15825.2,7.124,0.167
memcopy,136.064,632.902,
_Z20ClassifyPlanesPointsPK6float4PK6float3iiPi,41072.8,144.362,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15728.9,7.263,0.167
memcopy,135.008,646.94,
_Z20ClassifyPlanesPointsPK6float4PK6float3iiPi,40926.1,9.219,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15788.8,6.775,0.167
memcopy,134.784,700.718,
_Z20ClassifyPlanesPointsPK6float4PK6float3iiPi,40954.9,7.543,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15826.1,6.635,0.167
memcopy,138.912,876.159,
_Z20ClassifyPlanesPointsPK6float4PK6float3iiPi,41072.7,6.635,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15784.6,6.565,0.167
memcopy,136.672,624.102,
_Z20ClassifyPlanesPointsPK6float4PK6float3iiPi,40925.4,7.822,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15785.4,8.311,0.167
memcopy,135.392,2318.31,
_Z20ClassifyPlanesPointsPK6float4PK6float3iiPi,40984.7,7.892,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15759.1,6.705,0.167
memcopy,135.296,747.232,
_Z20ClassifyPlanesPointsPK6float4PK6float3iiPi,41060.4,7.962,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15842,6.914,0.167
memcopy,136.832,1107.4,
_Z20ClassifyPlanesPointsPK6float4PK6float3iiPi,40946.8,8.171,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15732.6,7.194,0.167
memcopy,137.056,776.216,
_Z20ClassifyPlanesPointsPK6float4PK6float3iiPi,41063.6,8.311,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15879,6.635,0.167
memcopy,135.84,718.737,
_Z20ClassifyPlanesPointsPK6float4PK6float3iiPi,40900.2,8.171,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15799,6.495,0.167
memcopy,134.944,641.283,
_Z20ClassifyPlanesPointsPK6float4PK6float3iiPi,41004.3,6.984,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15741.3,6.914,0.167
memcopy,135.296,2869.57,
_Z20ClassifyPlanesPointsPK6float4PK6float3iiPi,41106.3,7.333,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15802,6.705,0.167
memcopy,134.432,1256.03,
_Z20ClassifyPlanesPointsPK6float4PK6float3iiPi,40958.5,6.844,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15828.9,6.635,0.167
memcopy,139.712,696.737,
_Z20ClassifyPlanesPointsPK6float4PK6float3iiPi,40903.7,8.94,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15843.1,7.543,0.167
memcopy,134.784,701.206,
_Z20ClassifyPlanesPointsPK6float4PK6float3iiPi,41101.8,8.66,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15862.8,6.984,0.167
memcopy,137.184,720.692,
_Z20ClassifyPlanesPointsPK6float4PK6float3iiPi,40904.7,8.59,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15771.5,7.194,0.167
memcopy,135.008,678.927,
_Z20ClassifyPlanesPointsPK6float4PK6float3iiPi,40930.8,6.565,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15701.5,6.984,0.167
memcopy,135.36,713.638,
_Z20ClassifyPlanesPointsPK6float4PK6float3iiPi,41087.7,8.171,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15766,7.124,0.167
memcopy,135.04,3629.51,
