# CUDA_PROFILE_LOG_VERSION 1.3
# CUDA_PROFILE_CSV 1
# CUDA_DEVICE_NAME 0 GeForce 9800 GTX/9800 GTX+
method,gputime,cputime,occupancy
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50363.2,7.962,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15821.1,8.66,0.167
memcopy,134.752,671.873,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50454,7.333,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15903.6,8.73,0.167
memcopy,134.944,642.121,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50564.7,8.521,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15907,8.032,0.167
memcopy,136.128,675.016,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50583.4,7.683,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15817,7.124,0.167
memcopy,134.784,946.07,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50391.7,7.822,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15903.5,6.425,0.167
memcopy,135.008,626.127,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50473.8,6.705,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15836.2,6.635,0.167
memcopy,140.224,753.238,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50538.5,7.194,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15797.2,6.984,0.167
memcopy,135.008,624.172,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50589.4,7.752,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15843.9,6.565,0.167
memcopy,134.944,647.918,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50426.7,7.124,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15968.7,9.289,0.167
memcopy,134.88,712.451,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50467,6.635,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15765.9,8.381,0.167
memcopy,135.168,626.895,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50584.6,8.102,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15861.6,7.263,0.167
memcopy,134.784,656.438,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50364,7.403,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15768.4,7.124,0.167
memcopy,136.352,793.816,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50439.2,6.775,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15896.8,6.844,0.167
memcopy,134.752,616.978,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50177,6.914,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15859.5,6.286,0.167
memcopy,134.784,644.076,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50275,7.962,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15760.5,6.356,0.167
memcopy,135.072,622.006,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50608.1,6.775,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15824.9,7.333,0.167
memcopy,135.072,700.718,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50407.3,7.263,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15884.7,6.565,0.167
memcopy,134.976,625.079,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50205.1,8.102,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15897.1,6.775,0.167
memcopy,134.976,621.867,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50181.4,6.914,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15859.4,6.565,0.167
memcopy,135.168,690.172,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50581.5,7.752,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15872.5,6.635,0.167
memcopy,134.976,620.749,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50379.7,6.914,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15784.7,6.495,0.167
memcopy,134.816,647.778,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50179.8,6.775,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15777.3,6.635,0.167
memcopy,134.944,629.2,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50531.8,8.311,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15884.8,6.286,0.167
memcopy,135.136,754.076,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50309.7,6.844,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15787.9,6.286,0.167
memcopy,135.008,644.775,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50590.8,7.752,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15888.4,6.495,0.167
memcopy,135.104,627.175,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50168.6,50.006,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15800.2,6.565,0.167
memcopy,134.752,655.81,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50490.2,6.425,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15810.7,6.705,0.167
memcopy,135.136,654.692,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50270.2,6.844,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15811.8,6.984,0.167
memcopy,137.792,695.898,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50604,9.01,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15768.4,7.124,0.167
memcopy,136.704,819.098,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50185.2,7.892,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15910.2,6.495,0.167
memcopy,142.112,917.156,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50479.5,8.032,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15817.2,6.775,0.167
memcopy,140.416,724.533,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50553.2,7.473,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15806.3,7.054,0.167
memcopy,142.976,724.324,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50602.6,10.197,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15785.9,6.984,0.167
memcopy,134.848,621.029,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50386,8.032,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15875,7.054,0.167
memcopy,134.816,658.394,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50491.4,7.054,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15908,194.298,0.167
memcopy,134.784,660.699,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50570.6,7.543,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15801.7,6.984,0.167
memcopy,134.912,637.371,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50614.5,7.543,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15772.5,237.321,0.167
memcopy,134.848,628.152,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50459.9,7.124,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15894.5,6.775,0.167
memcopy,134.88,640.724,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50509.5,7.333,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15761.1,7.403,0.167
memcopy,136.32,681.651,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50592.4,13.13,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15791.3,7.054,0.167
memcopy,137.152,801.499,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50402,7.194,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15825.8,7.473,0.167
memcopy,134.848,621.797,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50463.9,6.705,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15824.8,7.333,0.167
memcopy,140.256,738.362,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50551.9,7.194,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15779.7,6.635,0.167
memcopy,135.84,700.229,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50598.5,7.403,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15863,7.752,0.167
memcopy,135.904,2893.52,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50429.9,7.333,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15898.9,8.102,0.167
memcopy,135.136,867.149,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50516.9,7.613,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15876.2,6.635,0.167
memcopy,136.864,4118.68,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50395.5,6.914,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15795.1,6.984,0.167
memcopy,135.488,702.394,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50409.5,7.054,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15842.6,6.495,0.167
memcopy,134.784,651.2,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50533.3,8.73,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15807.1,6.216,0.167
memcopy,134.816,671.105,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50617.4,7.054,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15801.3,7.333,0.167
memcopy,135.328,697.086,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50171.8,6.705,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15788.4,117.892,0.167
memcopy,137.344,653.994,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50529.8,8.73,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15758.4,6.635,0.167
memcopy,134.816,667.962,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50596.5,7.543,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15807.6,6.844,0.167
memcopy,134.784,626.895,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50396.4,7.124,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15922.4,19.556,0.167
memcopy,135.296,663.352,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50464.7,6.635,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15966.1,6.775,0.167
memcopy,134.784,626.965,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50527.9,6.914,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15920.1,125.225,0.167
memcopy,137.76,670.756,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50611.9,6.635,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15794.5,7.124,0.167
memcopy,134.816,979.454,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50417.9,6.844,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15835.3,6.705,0.167
memcopy,134.848,635.416,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50459.1,7.263,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15859.7,7.403,0.167
memcopy,145.856,754.076,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50577.4,8.59,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15836.6,6.914,0.167
memcopy,134.816,647.987,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50398,7.194,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15859.6,6.984,0.167
memcopy,134.848,650.152,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50490.2,6.775,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15850.8,6.844,0.167
memcopy,144.672,837.746,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50597.1,8.171,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15698.4,7.124,0.167
memcopy,138.72,671.384,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50397.2,7.543,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15875.9,7.613,0.167
memcopy,139.488,735.498,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50582.3,8.66,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15760.8,6.844,0.167
memcopy,141.376,666.495,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50446.6,8.66,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15885,8.102,0.167
memcopy,138.336,753.378,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50522.9,8.59,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15783.2,34.921,0.167
memcopy,137.216,697.086,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50630.9,8.66,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15951.8,7710.83,0.167
memcopy,142.944,669.568,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50575.4,9.429,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15923.6,7.263,0.167
memcopy,136.544,697.575,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50385.9,8.87,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15911.3,7.194,0.167
memcopy,139.392,665.378,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50504.9,8.94,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15830.8,6.914,0.167
memcopy,138.048,1011.44,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50400.5,9.289,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15871.6,6.914,0.167
memcopy,137.472,687.587,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50454.6,8.451,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15800.3,6.914,0.167
memcopy,136.96,698.622,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50557.5,8.521,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15754.6,7.403,0.167
memcopy,137.312,691.429,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50377.3,8.66,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15848.7,7.054,0.167
memcopy,141.984,737.594,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50192.9,9.079,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15781.4,7.892,0.167
memcopy,142.048,726.838,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50575.3,9.01,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15809.8,7.962,0.167
memcopy,137.6,711.054,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50397.7,9.778,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15758.7,7.403,0.167
memcopy,140.288,747.302,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50175.6,8.94,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15814.5,6.775,0.167
memcopy,134.944,774.61,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50558.9,6.984,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15796.4,6.914,0.167
memcopy,135.104,672.432,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50345.4,6.775,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15778.4,6.356,0.167
memcopy,134.944,668.66,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50404.5,6.495,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15821.4,6.635,0.167
memcopy,141.76,776.356,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50476.9,6.984,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15820.5,7.403,0.167
memcopy,139.008,683.257,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50558.8,7.613,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15760.8,6.844,0.167
memcopy,134.816,643.518,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50621.2,6.914,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15817.3,7.613,0.167
memcopy,134.944,634.508,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50164.5,7.054,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15868.5,7.263,0.167
memcopy,137.312,751.143,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50586.9,7.333,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15860.4,6.844,0.167
memcopy,139.36,800.032,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50389.3,7.683,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15932.2,6.286,0.167
memcopy,135.328,653.016,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50466,6.844,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15827.7,7.054,0.167
memcopy,138.496,657.975,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50595.2,6.495,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15668.4,6.775,0.167
memcopy,134.816,637.371,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50389.4,7.473,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15821.6,6.635,0.167
memcopy,135.104,861.352,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50469.2,6.914,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15912.4,6.565,0.167
memcopy,144.736,1745.89,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50562.2,7.403,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15773.5,6.844,0.167
memcopy,134.816,630.806,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50362.4,9.01,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15834.2,6.984,0.167
memcopy,135.2,651.13,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50456.5,6.775,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15858.5,6.705,0.167
memcopy,140.416,734.381,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50561.9,7.263,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15849.1,6.495,0.167
memcopy,134.848,657.765,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50626.9,6.775,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15767.8,7.543,0.167
memcopy,135.04,671.733,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50190.7,7.124,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15856.2,6.984,0.167
memcopy,149.696,2336.89,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50605.7,7.194,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15844.2,7.054,0.167
memcopy,134.976,708.47,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50401.5,7.403,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15813.1,6.635,0.167
memcopy,134.976,630.038,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50494.7,10.546,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15812.9,7.752,0.167
memcopy,135.424,667.543,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50579.3,7.892,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15766.4,6.635,0.167
memcopy,134.944,667.124,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50396.8,7.263,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15859.8,6.286,0.167
memcopy,134.912,640.375,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50469.3,6.984,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15884.6,7.263,0.167
memcopy,134.752,1811.47,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50572.8,7.613,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15843,6.705,0.167
memcopy,135.264,653.714,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50396.5,8.171,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15868.3,6.076,0.167
memcopy,135.104,659.162,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50185.3,6.775,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15891.1,32.895,0.167
memcopy,134.944,647.638,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50516.1,8.451,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15740.8,6.705,0.167
memcopy,135.2,625.289,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50560.8,7.054,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15894.8,6.495,0.167
memcopy,136.8,684.514,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50366.7,6.914,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15801.6,6.356,0.167
memcopy,137.536,651.968,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50432.8,6.844,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15946.7,6.425,0.167
memcopy,134.72,757.848,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50523.6,8.8,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15823.6,6.775,0.167
memcopy,146.624,1126.89,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50609.4,6.705,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15769.2,6.775,0.167
memcopy,136.416,653.225,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50422,7.543,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15841.4,7.613,0.167
memcopy,134.88,623.333,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50465.9,11.244,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15846.1,6.565,0.167
memcopy,138.304,757.848,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50576.2,6.775,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15807.8,123.479,0.167
memcopy,139.904,689.054,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50619.1,6.844,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15792.6,6.844,0.167
memcopy,135.488,653.435,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50422.6,7.333,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15864.2,7.124,0.167
memcopy,137.984,706.025,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50521,8.8,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15774.2,6.356,0.167
memcopy,135.424,676.343,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50618.9,8.171,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15850.3,6.844,0.167
memcopy,134.816,652.108,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50440.6,6.705,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15804.2,6.495,0.167
memcopy,135.712,693.803,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50494.8,8.311,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15726.5,6.705,0.167
memcopy,135.008,628.222,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50567.5,6.705,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15836,7.333,0.167
memcopy,134.784,625.149,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50607.1,6.844,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15841.8,8.94,0.167
memcopy,134.816,652.457,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50199.9,6.984,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15820.3,6.775,0.167
memcopy,134.816,689.054,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50546,7.962,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15780.3,7.263,0.167
memcopy,137.344,650.711,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50606.4,6.914,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15800.4,7.263,0.167
memcopy,136.512,1870.49,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50414.7,7.962,0.333
